Devices
1000
		PedaleDroite - Force			PedaleDroite - Moment			PedaleDroite - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9235	1	-18.8206	11.1503	-174.33	-157.644	137.833	-927.482	0.790641	0.904283	0
9235	2	-20.0396	10.0971	-173.767	-96.3399	79.1701	-890.061	0.45561	0.554419	0
9235	3	-19.2215	10.994	-174.249	-103.075	89.1003	-939.576	0.51134	0.591538	0
9236	0	-15.3101	7.68827	-170.217	-119.11	269.308	-869.545	1.58215	0.699753	0
9236	1	-17.6397	12.0672	-173.173	-155.856	73.533	-953.605	0.424623	0.900001	0
9236	2	-17.7879	11.1776	-175.37	-46.8534	102.849	-908.101	0.586468	0.267169	0
9236	3	-18.7283	10.6523	-170.551	-111.52	112.332	-859.789	0.658643	0.65388	0
9237	0	-19.1754	10.8107	-173.408	-51.0879	113.078	-805.526	0.652094	0.294611	0
9237	1	-19.3004	9.70288	-173.391	-46.2804	105.891	-828.415	0.610707	0.266913	0
9237	2	-17.2096	12.72	-167.441	-37.3416	149.709	-909.286	0.894098	0.223013	0
9237	3	-18.4247	10.7005	-172.636	-9.506	112.125	-822.424	0.649489	0.0550639	0
9238	0	-20.936	12.4284	-173.779	-63.5439	72.0894	-854.304	0.414834	0.36566	0
9238	1	-23.5071	14.6343	-176.384	-80.9662	16.5139	-783.739	0.0936249	0.459035	0
9238	2	-21.5205	11.6758	-166.467	-7.36998	46.6011	-775.438	0.279942	0.0442729	0
9238	3	-18.3162	10.6389	-169.738	7.58643	88.4879	-893.109	0.52132	-0.0446948	0
9239	0	-19.6174	10.708	-165.359	-100.931	38.2738	-918.132	0.231459	0.610376	0
9239	1	-18.0898	10.7944	-166.703	-34.0923	75.747	-843.914	0.454382	0.204509	0
9239	2	-18.742	9.96395	-167.719	15.0325	76.8589	-772.078	0.458259	-0.0896287	0
9239	3	-16.8904	13.2444	-161.561	-0.635627	130.143	-816.143	0.805538	0.00393429	0
