Devices
1000
		PedaleGauche - Force			PedaleGauche - Moment			PedaleGauche - CoP			
Frame	Sub Frame	Fx	Fy	Fz	Mx	My	Mz	Cx	Cy	Cz
		N	N	N	N.mm	N.mm	N.mm	mm	mm	mm
9232	3	-16.3986	15.8399	26.1453	-345.771	-967.707	1252.33	37.0127	-13.225	0
9233	0	-14.7513	15.0994	26.9159	-324.82	-1000.22	1222.69	37.161	-12.068	0
9233	1	-20.2313	14.6441	30.7482	-188.296	-1082.92	1260.84	35.219	-6.12381	0
9233	2	-15.1033	13.793	27.5739	-287.836	-1060.37	1240.68	38.4555	-10.4387	0
9233	3	-16.2834	18.1181	37.6392	-308.885	-1062.1	1329.6	28.2179	-8.20647	0
9234	0	-14.648	15.4964	27.3534	-366.247	-1036.01	1256.03	37.8751	-13.3894	0
9234	1	-19.4791	12.3803	20.0089	-330.646	-1200.23	1351.57	59.9846	-16.5249	0
9234	2	-14.5594	16.2403	23.2232	-427.217	-1066.15	1334.13	45.9087	-18.3961	0
9234	3	-18.3319	15.0523	27.2147	-330.848	-1188.18	1374.43	43.6597	-12.157	0
9235	0	-13.6197	15.1989	24.6384	-467.593	-1101.47	1345.19	44.7056	-18.9783	0
9235	1	-11.6931	15.8466	24.6509	-497.034	-1096.02	1320.69	44.4616	-20.1629	0
9235	2	-13.7036	17.882	18.5928	-565.66	-1181.39	1334.39	63.5399	-30.4236	0
9235	3	-10.0339	12.8865	16.0129	-542.064	-1119.67	1302.48	69.923	-33.8517	0
9236	0	-8.17731	12.0215	21.9563	-512.723	-1059.26	1343.11	48.244	-23.352	0
9236	1	-5.57709	14.6241	20.8	-597.547	-1037.61	1235.94	49.885	-28.7283	0
9236	2	-6.2238	11.3579	20.9254	-558.739	-1054.26	1302.36	50.382	-26.7014	0
9236	3	-4.2975	12.3164	13.7345	-566.82	-1043.11	1257.41	75.9482	-41.2698	0
9237	0	-7.43881	12.1927	11.5927	-593.009	-1147.76	1242.67	99.0075	-51.1539	0
9237	1	-5.77935	9.94707	9.87799	-545.526	-1140.48	1309.52	115.456	-55.2264	0
9237	2	-3.9288	9.94829	14.1303	-621.427	-1124.73	1273.51	79.5971	-43.9784	0
